#Build: Fabric Compiler 2024.2-SP1.2, Build 187561, May 22 18:16 2025
#Install: C:\studyware\pango\PDS_2024.2-SP1.2-ads\bin
#Application name: pds_shell.exe
#OS: Windows 10 10.0.18363
#Hostname: z02665mj
Generated by Fabric Compiler (version 2024.2-SP1.2 build 187561) at Tue Feb 10 12:27:09 2026
Parameters for debugging are loaded as follows:
E: ConstraintEditor-0099: Port 'o_PAL_RISER1_SS_CLK' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RISER1_SS_LD_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RISER2_SLOT_PERST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RISER2_SS_CLK' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RISER2_SS_LD_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RST_TPM_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_SPI_SELECT_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_SPI_SWITCH_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_TEST_BAT_EN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_UART4_OCP_DEBUG_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_UPD1_PERST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_UPD1_PONRST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_UPD2_PERST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_UPD2_PONRST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_WX1860_NCSI_CLK_50M_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_WX1860_NCSI_SW_EN_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C1_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C2_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C3_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C4_1_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C4_2_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C5_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C12_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C13_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_RST_I2C_BMC_9548_MUX_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CHASSIS_ID0_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CHASSIS_ID1_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CLK_C42_IN_25M' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPLD_M_S_EXCHANGE_S1' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPLD_M_S_SGPIO_CLK' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPLD_M_S_SGPIO_LD_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPLD_M_S_SGPIO_MOSI' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_D0_I2C1_PE_STRAP_SCL' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_D0_TEMP_OVER' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_D0_UART1_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_D0_UART_SOUT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_D1_TEMP_OVER' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO0_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO0_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO2_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO2_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO3_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU0_MCIO3_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_D0_TEMP_OVER' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_D0_UART1_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_D0_UART_SOUT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_D1_TEMP_OVER' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO0_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO0_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO2_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO2_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO3_CABLE_ID0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU1_MCIO3_CABLE_ID1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME0_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME1_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME4_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME5_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME6_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME7_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME10_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME11_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME14_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME15_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME16_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_CPU_NVME17_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_FAN_SNS_ALERT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_JACK_CPU0_D0_UART_SIN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_JACK_CPU0_UART1_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_JACK_CPU1_D0_UART_SIN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_JACK_CPU1_UART1_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_MB_CB_RISER1_PRSNT0_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_MB_CB_RISER2_PRSNT0_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_P12V_STBY_SNS_ALERT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_BMC_NCSI_CLK_50M_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_BMC_SS_DATA_IN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_BMC_UART4_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_EXT_RST_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_LOM_FAN_ON_AUX_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_M2_0_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_M2_1_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_OCP1_SS_DATA_IN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_OCP2_SS_DATA_IN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_PWR_SW_IN_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER1_MODE_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER1_SS_DATA_IN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER1_WIDTH_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER2_MODE_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER2_PRSNT_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER2_SS_DATA_IN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_RISER2_WIDTH_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_UART4_OCP_DEBUG_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_UPD72020_1_ALART' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PAL_UPD72020_2_ALART' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PCA_REVISION_0' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PCA_REVISION_1' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PCA_REVISION_2' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PCB_REVISION_0' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_PCB_REVISION_1' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_1' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_2' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_3' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_4' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_5' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_6' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_7' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'i_SW_8' unspecified I/O constraint.
Found 167 error(s), 0 critical warning(s), 0 warning(s), out of 0 constraint(s)
